Longitude;Latitude;Elevation;Distance;Gradient;Maxspeed;Surface
131.07271;-12.622071;25;39862.41892;0.005096678;100;asphalt
131.072577;-12.623044;26.25;39971.56984;0.011452034;100;asphalt
131.072519;-12.623812;27.5;40057.19913;0.014597807;100;asphalt
131.072502;-12.624688;27.25;40154.62337;-0.002566097;110;asphalt
131.07251;-12.625476;26.25;40242.24928;-0.011412149;110;asphalt
131.07259;-12.626531;26;40359.88066;-0.002125283;110;asphalt
131.073324;-12.631238;34.75;40889.29998;0.016527542;110;asphalt
131.073419;-12.631753;35.75;40947.48569;0.01718635;110;asphalt
131.073513;-12.632353;35.5;41014.97776;-0.003704139;110;asphalt
131.073654;-12.633176;36.25;41107.7612;0.008083339;110;asphalt
131.073881;-12.634508;37.25;41257.90682;0.006660201;110;asphalt
131.073921;-12.634746;37;41284.72474;-0.009322126;110;asphalt
131.074258;-12.63691;36;41528.11292;-0.004108663;110;asphalt
131.074429;-12.637891;35.75;41638.76179;-0.002259399;110;asphalt
131.075283;-12.642787;35.5;42191.00123;-0.000452702;110;asphalt
131.075321;-12.642976;35.5;42212.41768;0;110;asphalt
131.076416;-12.648352;35.25;42821.89312;-0.000410189;110;asphalt
131.077654;-12.655678;40.75;43647.50633;0.006661715;110;asphalt
131.077926;-12.657331;43.5;43833.66543;0.01477231;110;asphalt
131.078899;-12.663242;49.75;44499.36172;0.009388666;110;asphalt
131.079247;-12.665941;51.25;44801.84229;0.004958996;110;asphalt
131.079774;-12.670042;52.5;45261.42287;0.002719871;110;asphalt
131.080006;-12.671481;50.75;45423.39979;-0.010804008;110;asphalt
131.080296;-12.673285;51.5;45626.44762;0.003693711;110;asphalt
131.080589;-12.675045;52.5;45824.71529;0.005043687;110;asphalt
131.081091;-12.678065;55.75;46164.91126;0.009553317;110;asphalt
131.081389;-12.679991;56.75;46381.49897;0.004617067;110;asphalt
131.081815;-12.682687;56;46684.82169;-0.002472614;110;asphalt
131.084068;-12.690869;55.75;47626.87517;-0.000265378;110;asphalt
131.084335;-12.691911;57;47746.30558;0.010466346;110;asphalt
131.084522;-12.69274;57.25;47840.6918;0.002648692;110;asphalt
131.084861;-12.695244;60;48121.54186;0.009791702;110;asphalt
131.085617;-12.701511;57.75;48823.20932;-0.003206647;110;asphalt
131.086584;-12.70937;55.75;49703.36302;-0.00227233;110;asphalt
131.086698;-12.710278;56.25;49805.08244;0.004915482;110;asphalt
131.087998;-12.720822;55.5;50985.97091;-0.000635115;110;asphalt
